,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
388,4785,HP610824,10/07/2008 12:39:00 PM,000XX E 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,323,3.0,6.0,69.0,01A,1178207.0,1855308.0,2008,08/17/2015 03:03:40 PM,41.758275857,-87.622451031,"(41.758275857, -87.622451031)"
835,4786,HP616595,10/09/2008 03:30:00 AM,048XX W POLK ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1533,15.0,24.0,25.0,01A,1144200.0,1895857.0,2008,08/17/2015 03:03:40 PM,41.87025207,-87.746069362,"(41.87025207, -87.746069362)"
1334,4787,HP616904,10/09/2008 08:35:00 AM,030XX W MANN DR,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,False,False,831,8.0,18.0,66.0,01A,1157314.0,1859778.0,2008,08/17/2015 03:03:40 PM,41.770990476,-87.698901469,"(41.770990476, -87.698901469)"
1907,4788,HP618616,10/10/2008 02:33:00 AM,052XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,False,False,1524,15.0,37.0,25.0,01A,1141065.0,1904824.0,2008,08/17/2015 03:03:40 PM,41.894916924,-87.757358147,"(41.894916924, -87.757358147)"
2436,4789,HP619020,10/10/2008 12:50:00 PM,026XX S HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,False,True,1032,10.0,22.0,30.0,01A,1154123.0,1886297.0,2008,08/17/2015 03:03:40 PM,41.843826272,-87.709893465,"(41.843826272, -87.709893465)"
3056,4790,HP620131,10/10/2008 08:32:00 PM,015XX W 14TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,True,1231,12.0,2.0,28.0,01A,1166321.0,1893492.0,2008,08/17/2015 03:03:40 PM,41.863318307,-87.664923682,"(41.863318307, -87.664923682)"
3611,4791,HP620406,10/11/2008 12:55:00 AM,020XX W 23RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1034,10.0,25.0,31.0,01A,1163192.0,1888742.0,2008,08/17/2015 03:03:40 PM,41.850350125,-87.676543351,"(41.850350125, -87.676543351)"
4425,4792,HP622040,10/11/2008 10:25:00 PM,069XX S PAXTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,331,3.0,5.0,43.0,01A,1192078.0,1859337.0,2008,08/17/2015 03:03:40 PM,41.769005966,-87.571485086,"(41.769005966, -87.571485086)"
5213,4793,HP622164,10/11/2008 10:00:00 PM,060XX S SAWYER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,False,False,823,8.0,16.0,66.0,01A,1155755.0,1864457.0,2008,08/17/2015 03:03:40 PM,41.783861768,-87.704490821,"(41.783861768, -87.704490821)"
5867,4794,HP622189,10/12/2008 05:47:00 AM,024XX W 51ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,911,9.0,14.0,63.0,01A,1160775.0,1870785.0,2008,08/17/2015 03:03:40 PM,41.801124416,-87.685910818,"(41.801124416, -87.685910818)"
6359,4795,HP623937,10/12/2008 10:33:00 PM,057XX S ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,713,7.0,16.0,67.0,01A,1166656.0,1866562.0,2008,08/17/2015 03:03:40 PM,41.789412422,-87.664463578,"(41.789412422, -87.664463578)"
6917,4796,HP624032,10/12/2008 10:55:00 PM,004XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,624,6.0,6.0,44.0,01A,1180479.0,1852723.0,2008,08/17/2015 03:03:40 PM,41.751130513,-87.614203618,"(41.751130513, -87.614203618)"
7483,4797,HP625052,10/13/2008 02:49:00 PM,112XX S VERNON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,531,5.0,9.0,49.0,01A,1181244.0,1830527.0,2008,08/17/2015 03:03:40 PM,41.690204352,-87.612081729,"(41.690204352, -87.612081729)"
7955,4798,HP622688,10/13/2008 07:04:00 PM,024XX S HAMLIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1013,10.0,22.0,30.0,01A,1151426.0,1887526.0,2008,08/17/2015 03:03:40 PM,41.847252098,-87.719758775,"(41.847252098, -87.719758775)"
8591,4799,HP626379,10/14/2008 09:37:00 AM,006XX S INDEPENDENCE BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,False,1133,11.0,24.0,27.0,01A,1151362.0,1897015.0,2008,08/17/2015 03:03:40 PM,41.873292286,-87.719744775,"(41.873292286, -87.719744775)"
9125,4800,HP626784,10/14/2008 01:27:00 PM,110XX S NORMAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,2233,22.0,34.0,49.0,01A,1174927.0,1831706.0,2008,08/17/2015 03:03:40 PM,41.693582523,-87.635173415,"(41.693582523, -87.635173415)"
9704,4801,HP628839,10/15/2008 04:10:00 PM,028XX N SOUTHPORT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,True,False,1931,19.0,32.0,6.0,01A,1166481.0,1919120.0,2008,08/17/2015 03:03:40 PM,41.933639896,-87.663601923,"(41.933639896, -87.663601923)"
10316,4802,HP631705,10/16/2008 09:35:00 PM,005XX N LONG AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,True,False,1523,15.0,37.0,25.0,01A,1140228.0,1903154.0,2008,08/17/2015 03:03:40 PM,41.890349617,-87.760473216,"(41.890349617, -87.760473216)"
10785,4803,HP626520,10/16/2008 04:25:00 PM,017XX W 21ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,1223,12.0,25.0,31.0,01A,1165112.0,1890122.0,2008,08/17/2015 03:03:40 PM,41.854096462,-87.669457466,"(41.854096462, -87.669457466)"
11455,4804,HP631900,10/17/2008 05:17:00 AM,008XX N TRUMBULL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,True,False,1121,11.0,27.0,23.0,01A,1153226.0,1905401.0,2008,08/17/2015 03:03:40 PM,41.89626756,-87.712678392,"(41.89626756, -87.712678392)"
12018,4805,HP633754,10/17/2008 10:55:00 PM,060XX S PRAIRIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,311,3.0,20.0,40.0,01A,1179072.0,1865118.0,2008,08/17/2015 03:03:40 PM,41.78517586,-87.618982288,"(41.78517586, -87.618982288)"
12857,4806,HP640471,10/21/2008 07:40:00 PM,007XX S OAKLEY BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,True,True,1224,12.0,2.0,28.0,01A,1161171.0,1896649.0,2008,08/17/2015 03:03:40 PM,41.872089887,-87.68374121,"(41.872089887, -87.68374121)"
13626,4807,HP645416,10/24/2008 03:41:00 PM,070XX S YALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,True,731,7.0,6.0,69.0,01A,1175841.0,1858327.0,2008,08/17/2015 03:03:40 PM,41.766613666,-87.63103182,"(41.766613666, -87.63103182)"
14419,4808,HP645416,10/24/2008 03:41:00 PM,070XX S YALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,True,731,7.0,6.0,69.0,01A,1175841.0,1858327.0,2008,08/17/2015 03:03:40 PM,41.766613666,-87.63103182,"(41.766613666, -87.63103182)"
15088,4809,HP645990,10/24/2008 08:26:00 PM,016XX W 56TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,715,7.0,15.0,67.0,01A,1166418.0,1867575.0,2008,08/17/2015 03:03:40 PM,41.792197295,-87.665307388,"(41.792197295, -87.665307388)"
15606,4810,HP646253,10/24/2008 10:00:00 PM,045XX S LA CROSSE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,False,False,814,8.0,23.0,56.0,01A,1144790.0,1874033.0,2008,08/17/2015 03:03:40 PM,41.810352872,-87.744452603,"(41.810352872, -87.744452603)"
16193,4811,HP646645,10/25/2008 05:57:00 AM,039XX W FIFTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1132,11.0,24.0,26.0,01A,1150158.0,1897024.0,2008,08/17/2015 03:03:40 PM,41.873340516,-87.72416505,"(41.873340516, -87.72416505)"
16761,4812,HP647382,10/25/2008 12:00:00 PM,021XX N KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STAIRWELL,False,False,2522,25.0,30.0,20.0,01A,1147371.0,1913812.0,2008,08/17/2015 03:03:40 PM,41.919462416,-87.733967003,"(41.919462416, -87.733967003)"
17199,4813,HP648331,10/26/2008 06:37:00 AM,057XX S BISHOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,713,7.0,16.0,67.0,01A,1167645.0,1866690.0,2008,08/17/2015 03:03:40 PM,41.789742498,-87.660833554,"(41.789742498, -87.660833554)"
17773,4814,HP649414,10/26/2008 06:57:00 PM,030XX W GEORGE ST,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,False,False,1411,14.0,35.0,21.0,01A,1155444.0,1919123.0,2008,08/17/2015 03:03:40 PM,41.933877553,-87.704162347,"(41.933877553, -87.704162347)"
17980,4815,HP645782,10/24/2008 03:41:00 PM,013XX S KOLIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,True,1011,10.0,24.0,29.0,01A,1147596.0,1893477.0,2008,08/17/2015 03:03:40 PM,41.863656629,-87.733662478,"(41.863656629, -87.733662478)"
18581,4816,HP652145,10/28/2008 01:25:00 PM,048XX S BISHOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,False,False,933,9.0,20.0,61.0,01A,1167485.0,1872588.0,2008,08/17/2015 03:03:40 PM,41.805930728,-87.661251143,"(41.805930728, -87.661251143)"
19254,4817,HP366390,10/24/2008 02:35:00 AM,072XX S EXCHANGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,334,3.0,7.0,43.0,01A,1194050.0,1857365.0,2008,08/17/2015 03:03:40 PM,41.763546495,-87.564321451,"(41.763546495, -87.564321451)"
19731,4818,HP654429,10/29/2008 04:00:00 PM,008XX W CUYLER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,False,2322,19.0,46.0,3.0,01A,1170030.0,1927277.0,2008,08/17/2015 03:03:40 PM,41.95594621,-87.650320737,"(41.95594621, -87.650320737)"
20350,4819,HN118196,10/27/2008 06:00:00 AM,042XX S PRAIRIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,214,2.0,3.0,38.0,01A,1178742.0,1877048.0,2008,08/17/2015 03:03:40 PM,41.817920375,-87.619829115,"(41.817920375, -87.619829115)"
20943,4820,HP657256,10/31/2008 05:37:00 AM,020XX W 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,726,7.0,15.0,67.0,01A,1163912.0,1862858.0,2008,08/17/2015 03:03:40 PM,41.779306305,-87.674629028,"(41.779306305, -87.674629028)"
21474,4821,HP624058,10/14/2008 12:10:00 AM,013XX W 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,734,7.0,17.0,67.0,01A,1168471.0,1857678.0,2008,08/17/2015 03:03:40 PM,41.764994683,-87.658064336,"(41.764994683, -87.658064336)"
